"Factors","RMSEA","TLI","BIC","Variance_Explained"
5,0.0647059987914751,0.866044532529206,-1693.94810059563,0.538287151130704
6,0.0588940042022046,0.888665240480464,-1680.15864846375,0.559712188307787
7,0.0537508273323968,0.906948929618788,-1639.33697618868,0.579976585781948
8,0.0498446707080924,0.919712732077376,-1571.61922812681,0.591358475864514
9,0.046196648485603,0.930794551391936,-1494.98422506774,0.606157747543777
