"","Factors","RMSEA","TLI","BIC","ChiSq","df","p_value"
"1",3,0.082106776848085,0.785688004991734,-1507.42682754791,1306.94287986061,558,3.79478978210429e-110
"2",4,0.0709203857071085,0.839584220300925,-1678.3958559338,754.274099740063,524,2.28904951683443e-67
"3",5,0.0647059987914752,0.866044532529205,-1693.94810059563,557.656489045864,491,4.67653658299836e-48
"4",6,0.0588940042022046,0.888665240480464,-1680.15864846375,412.288139062598,459,6.88184211363328e-34
"5",7,0.053750827332397,0.906948929618788,-1639.33697618868,294.732838730264,428,4.78580570165666e-24
"6",8,0.0498446707080922,0.919712732077377,-1571.61922812681,264.617419875134,398,6.47379220423924e-18
