"","ML1","ML3","ML7","ML2","ML5","ML6","ML4"
"1",0.126135434577933,-0.692909780890085,0.647637363741533,0.530108744140401,-0.252998461535934,0.585926159243498,-0.910545457528494
"2",0.0462440137019315,-1.48980114156501,-1.43645050719983,-1.58732553206278,-2.3426705253799,-1.05939224131475,-1.75008756014461
"3",-0.568661712793932,1.1433339240782,-1.53888593442176,0.410260604719845,-0.728432451883173,0.383602116076567,-1.45919020248616
"4",-0.933920399401955,1.06586416207558,-1.22930170316343,0.693145217971291,-1.02814493336444,-0.500615711609929,-0.274699035924094
"5",-1.17090942210257,0.419239291408431,-2.41090057783526,0.477542660804443,-0.861808978913098,-0.920779225478867,-0.4633946202698
"6",0.735696868799456,0.64525163631613,0.00646303870454449,0.549739768960134,-0.581503769546561,-0.313855941737507,0.262143060174232
"7",0.66012430324148,-0.016223312705163,1.48254806666856,-0.0284755427500548,0.945772413175428,0.959216578431199,0.562445241265231
"8",-1.45268756769695,-1.15880026075752,-1.27934307061909,-0.135932614679941,-0.69225355940671,-0.806167613192779,-0.616776326810479
"9",-1.13246845282055,1.02840020678341,-1.12728631670701,-0.408437264657852,-1.15803543737213,0.0442162257100225,-1.31361465464004
"10",0.991518275038573,-0.55187777253966,1.433550770364,-0.0638928762627317,0.77369241240597,0.162178703395888,-0.269663065326382
"11",0.489186048581644,0.185113800484039,-0.93741981879137,0.371457705304709,0.982728527967152,0.19672946260683,-1.27599171354688
"12",-0.012135809519029,0.240775817861159,-0.348648639013795,0.584320425418733,-0.245636485164559,0.846948789508056,-0.878135706960732
"13",-2.1472994291363,-0.309690983358373,-1.84489288229581,-0.742372469911359,-1.13656100092014,-1.51862842601931,-1.47488557185233
"14",-1.79001383593011,-0.564795640315582,-2.08289286888427,-0.26047759699068,-1.4902882040861,-1.0216128975135,-1.24412992380108
"15",-1.09132093858299,-0.204460841120248,-1.29765147105104,-0.410537263970957,-2.01413423440775,-1.47341490061266,-0.484444236882681
"16",-1.47892237100183,1.02090627533889,-0.361974694629186,0.0255057519542537,0.706856250937584,-0.733721304099881,-1.75650546464439
"17",0.391237903839625,0.764192009547644,0.542189785603731,0.687152475547023,1.13772238244169,0.34859389155678,0.402213881554736
"18",0.450357577360741,-1.71663580007273,-0.712971025454031,0.393425549329219,-1.54108647878035,-1.36743290295599,-1.3490185921308
