"Group","N","ChiSquare","df","PValue","TLI","RMSEA"
"Total Sample",293,791.776900470622,428,4.78580570165884e-24,0.906948929618788,0.0537508273323968
"AMAB Women",154,614.81540934126,428,7.53796265563671e-09,0.901615250234961,0.0528381904848722
"AFAB Men",97,515.780086230687,428,0.00226218377282,0.926123907065637,0.044799322614405
