"","Gesamtstichprobe.Psychological.Functioning","Gesamtstichprobe.Social.Gender.Role.Recognition","Gesamtstichprobe.Physical.and.Emotional.Intimacy","Gesamtstichprobe.Life.Satisfaction","Gesamtstichprobe.Body.Image","Gesamtstichprobe.Genitalia","Gesamtstichprobe.Gender.Identity","AMAB.Psychological.Functioning","AMAB.Social.Gender.Role.Recognition","AMAB.Physical.and.Emotional.Intimacy","AMAB.Life.Satisfaction","AMAB.Body.Image","AMAB.Genitalia","AMAB.Gender.Identity"
"Psychological Functioning",1,0.333436403626029,0.559299763672389,0.349580977542969,0.361390322820507,0.485291491479987,0.266926410705577,1,0.37604787287007,0.26557715577057,0.466164161330391,0.161608590343359,0.305736814570417,0.360547026554135
"Social Gender Role Recognition",0.333436403626029,1,0.158442466622229,0.499544992676023,0.32331174631098,0.374483819878418,0.273479841718056,0.37604787287007,1,0.524754443377838,0.342276905138051,0.438536105195687,0.289054262449729,0.192994812557142
"Physical and Emotional Intimacy",0.559299763672389,0.158442466622229,1,0.134688878237036,0.277405062593235,0.419870219101389,0.212685203165714,0.26557715577057,0.524754443377838,1,0.272973065096666,0.482555819558822,0.284573661914703,0.210869917699989
"Life Satisfaction",0.349580977542969,0.499544992676023,0.134688878237036,1,0.416873063983469,0.242065053298437,0.444610548508329,0.466164161330391,0.342276905138051,0.272973065096666,1,0.176014098320673,0.335213888685857,0.436350644267309
"Body Image",0.361390322820507,0.32331174631098,0.277405062593235,0.416873063983469,1,0.251266079575247,0.436045274223811,0.161608590343359,0.438536105195687,0.482555819558822,0.176014098320673,1,0.330506825960824,0.210906448344731
"Genitalia",0.485291491479987,0.374483819878418,0.419870219101389,0.242065053298437,0.251266079575247,1,0.18341188399542,0.305736814570417,0.289054262449729,0.284573661914703,0.335213888685857,0.330506825960824,1,0.336059064255418
"Gender Identity",0.266926410705577,0.273479841718056,0.212685203165714,0.444610548508329,0.436045274223811,0.18341188399542,1,0.360547026554135,0.192994812557142,0.210869917699989,0.436350644267309,0.210906448344731,0.336059064255418,1
