"Factor","Total_Sample","AMAB_Women","AFAB_Men"
"Factor 1",0.589130066564121,0.646169981703781,0.614774516591877
"Factor 2",0.71098703748359,0.633540947276652,0.678044445933354
"Factor 3",0.850233928392886,0.8041587067537,0.828994135566394
"Factor 4",0.352619176711991,0.404917342507686,0.334054702113194
"Factor 5",0.602050855070207,0.648261725699845,0.52876570385294
"Factor 6",0.885090027195982,0.466733245081219,0.787230981155508
"Factor 7",0.29584584558078,0.144100926467626,0.261726894742377
