"Gruppe","Item","Psychological.Functioning","Social.Gender.Role.Recognition","Physical.and.Emotional.Intimacy","Life.Satisfaction","Body.Image","Genitalia","Gender.Identity","SE_Psychological.Functioning","SE_Social.Gender.Role.Recognition","SE_Physical.and.Emotional.Intimacy","SE_Life.Satisfaction","SE_Body.Image","SE_Genitalia","SE_Gender.Identity"
"Gesamtstichprobe","I1",0.270086171629699,0.0847459855608458,0.56466238239374,-0.0365868671475041,0.0830541028005721,-0.00744479981164646,-0.0450705042015338,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I2",-0.103178137670379,-0.0716021320651964,0.599996292981606,0.0856004522350941,-0.06753507760915,0.0298712977085777,0.191923966911127,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I3",0.0536321538185755,0.0236263876769312,0.541965534555096,0.146001869865625,0.053344571040258,0.124777979794329,0.0124369793642025,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I4",0.272564565433069,0.00728158507812327,0.488474788307672,0.110276132297507,-0.0786976329591115,0.044428876366898,0.0896729456344454,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I5",-0.00554768030208575,0.20350888961719,0.409346065614937,-0.0878462295380799,0.111998213852716,0.25086183418882,0.0013136957150726,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I6",0.164826899375588,0.0301580527697264,0.489331835051745,0.118568702249002,0.017782399564839,0.0570657413293693,-0.00244429681964977,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I7",0.16151918854339,0.0124618945722549,0.540308899064086,-0.0241543199105371,0.0880679090680787,0.061552191882487,0.102106189921,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I8",0.323131941845933,0.155033756417157,-0.135023927164603,0.140544589810185,0.10322038457237,-0.0120646205078206,0.04895707181266,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I9",0.744641805308282,0.0187623728312875,0.142348824658714,0.0266377721443151,0.0157632830170752,0.0246899381800996,-0.0233927055979107,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I10",-0.596644332956758,-0.0554190581810822,-0.238786862504555,-0.0389534149721497,-0.03784820800196,-0.0793276636310712,-0.0346194956113401,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I11",0.098119618668948,0.00199051229728277,0.321947909396002,0.0539294888863545,0.086195242192283,0.40171283177478,-0.0493396636717111,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I12",0.594761230557462,0.0685270681401689,0.301113590914641,-0.113641940153442,0.0334293359608559,-0.00143944821268919,0.0833015661564838,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I13",0.780820232236891,-0.030442501750506,-0.172264478912852,0.122799524266653,0.032504958197293,0.0393462196623504,0.0674432119834615,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I14",-0.00458021051827267,0.751263701595249,-0.0150102970146991,0.0640477162477632,0.0427575868690463,0.0233491594040201,0.0569278675078806,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I15",0.0559215278322618,0.0819109220719827,-0.0637999238962151,0.827136973012675,0.00497401456114791,0.0294613401259062,-0.0165985381484149,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I16",-0.00530094826410227,-0.0256500297336438,-0.0170060811583019,0.0077855253370969,0.757923323599217,0.0980069489045202,0.0482025500367304,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I17",-0.028162510677395,-0.0458029186516404,-0.00204552250420165,0.134683775158993,-0.0177896023114819,0.0489145048733934,0.742576457452553,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I18",0.0375458907815551,0.0666622884494291,-0.0332096927406585,0.727811197246755,0.0930578426617497,-0.100489054609445,0.0896364383199231,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"Gesamtstichprobe","I19",0.129616632849803,0.126821263505427,0.00316437325901828,0.04720037605171,0.500722978928952,-0.0814946482506055,0.240877347684802,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
