"Modell","N","Chi_Square","df","p","CFI","TLI","RMSEA","RMSEA_CI_Lower","RMSEA_CI_Upper","SRMR"
"ESEM",293,294.732838729994,428,0.99999984282731,NA,0.682043859589807,0,0,0,0.0788450347523541
"ESEM",196,283.719974720279,428,0.999999989618412,NA,0.655520899489167,0,0,0,0.0817438204640157
